decimalLatitude,decimalLongitude,UI,Birds,Visitors,Azimut_t,Temperature,Dureza,Wrack,Grain_size,Salinity,slope,Beach_width,Swash,S_total,pH,campaign,month,locality,site,zone
21.288916,-89.658,0.69,3,12,-3,,,163.18333333333334,0.365621522890822,35,5.3,43.5,5.91,1.9,,1,Nov,Progreso,2,Wet
21.289833,-89.64289,0.57,0,7,-5,29.633333333333333,220,444.6,0.38738312952535303,17.333333333333332,4.2,19.7,6.8,3.7,7.3566666666666665,2,Apr,Progreso,3,Dry
21.289942,-89.6429,0.57,0,4,-5,32.43333333333334,310,53.7,0.414824514539025,14.333333333333334,6.8,15.4,1.8299999999999998,6.5,7.373333333333334,3,Aug,Progreso,3,Dry
21.289861,-89.64289,0.57,0,0,-5,,,375.5,0.698970725333754,36,6.7,13,5.55,7,,1,Nov,Progreso,3,Dry
21.289833,-89.64289,0.57,0,7,-5,30.166666666666668,93.33333333333333,444.6,0.305488544430807,40,3.6,19.7,6.8,3.7,8.040000000000001,2,Apr,Progreso,3,Wet
21.289942,-89.6429,0.57,0,4,-5,32.93333333333333,213.33333333333334,53.7,0.405433354104173,37.333333333333336,6.6,15.4,1.8299999999999998,6.5,7.54,3,Aug,Progreso,3,Wet
21.289861,-89.64289,0.57,0,0,-5,,,375.5,0.51046232029110306,36,7.2,13,5.55,7,,1,Nov,Progreso,3,Wet
21.292683,-89.62535,0.63,2,5,-4,30.73333333333333,190,155.29999999999998,0.313688699386404,34,2.1,15.5,5.800000000000001,3.8,7.32,2,Apr,Progreso,4,Dry
21.292683,-89.62535,0.63,9,0,-4,32.9,283.3333333333333,26.599999999999998,0.340004643040089,11.666666666666666,3.5,17,0.5599999999999999,4.7,7.446666666666666,3,Aug,Progreso,4,Dry
21.292694,-89.62536,0.63,0,0,-4,,,314.3666666666667,0.466145050144519,36,7.7,15,5.88,8.5,,1,Nov,Progreso,4,Dry
21.292683,-89.62535,0.63,2,5,-4,30.07,116.66666666666667,155.29999999999998,0.36315233768032,40,5.2,15.5,5.800000000000001,3.8,8.113333333333333,2,Apr,Progreso,4,Wet
21.292683,-89.62535,0.63,9,0,-4,34.03333333333333,156.66666666666666,26.599999999999998,0.5909477036700751,34.666666666666664,6.5,17,0.5599999999999999,4.7,7.6,3,Aug,Progreso,4,Wet
21.292694,-89.62536,0.63,0,0,-4,,,314.3666666666667,0.511208054983917,36,8,15,5.88,8.5,,1,Nov,Progreso,4,Wet
21.342547,-89.3047,0.2,16,0,15,29.666666666666668,276.6666666666667,214.7,0.36796241303682303,40.333333333333336,3.2,24.7,3.92,3.4,6.956666666666667,2,Apr,Telchac,1,Dry
21.342633,-89.30375,0.2,0,0,15,28.9,306.6666666666667,166.2,0.327689100208026,20.666666666666668,3.4,25.1,2.38,3.6,7.3133333333333335,3,Aug,Telchac,1,Dry
21.34225,-89.3038,0.2,0,0,15,,,170.91666666666669,0.390064567938731,36,1.2,37.6,3.34,3.1,,1,Nov,Telchac,1,Dry
21.342547,-89.3047,0.2,16,0,15,29.7,146.66666666666666,214.7,0.42895235271147497,41.666666666666664,4.9,24.7,3.92,3.4,7.553333333333334,2,Apr,Telchac,1,Wet
21.342633,-89.30375,0.2,0,0,15,27.433333333333334,123.33333333333333,166.2,0.503902374491245,39,3.3,25.1,2.38,3.6,7.463333333333334,3,Aug,Telchac,1,Wet
21.34225,-89.3038,0.2,0,0,15,,,170.91666666666669,0.426235492861433,36,6.2,37.6,3.34,3.1,,1,Nov,Telchac,1,Wet
21.342063,-89.28452,0.34,0,0,3,30.733333333333334,220,239.2,0.350056373440345,41,6.2,11,4.98,7,7.3100000000000005,2,Apr,Telchac,2,Dry
21.342091,-89.28447,0.34,0,0,3,30.866666666666667,140,45.199999999999996,0.380212709167812,8,9.3,13,2.03,6.6,7.476666666666667,3,Aug,Telchac,2,Dry
21.34175,-89.28453,0.34,0,0,3,,,97.71666666666667,0.289461254898417,36,7.2,18.1,2.7700000000000005,6,,1,Nov,Telchac,2,Dry
21.342063,-89.28452,0.34,0,0,3,30.766666666666666,93.33333333333333,239.2,0.295023483924902,40.333333333333336,8,11,4.98,7,7.836666666666667,2,Apr,Telchac,2,Wet
21.342091,-89.28447,0.34,0,0,3,30,120,45.199999999999996,0.525566025178015,37.333333333333336,4.9,13,2.03,6.6,7.446666666666666,3,Aug,Telchac,2,Wet
21.34175,-89.28453,0.34,0,0,3,,,97.71666666666667,0.298273256036576,36,5.3,18.1,2.7700000000000005,6,,1,Nov,Telchac,2,Wet
21.344166,-89.26329,0.66,19,17,5,30.5,316.6666666666667,115.7,0.276567160554438,12,3.6,26.4,4.169999999999999,3.5,7.416666666666667,2,Apr,Telchac,3,Dry
21.344239,-89.26317,0.66,12,15,5,30.233333333333334,263.3333333333333,102.7,0.33844809106347495,8,2.9,32.1,2.3,2.8,7.41,3,Aug,Telchac,3,Dry
21.343722,-89.26325,0.66,9,11,5,,,62.16666666666667,0.453422164214738,35,2.6,25.9,2.7200000000000006,4.4,,1,Nov,Telchac,3,Dry
21.344166,-89.26329,0.66,19,17,5,30.8,170,115.7,0.399391968561673,40,3.1,26.4,4.169999999999999,3.5,8.136666666666667,2,Apr,Telchac,3,Wet
21.344239,-89.26317,0.66,12,15,5,31.133333333333333,196.66666666666666,102.7,0.5645603008704749,37.666666666666664,2.9,32.1,2.3,2.8,7.526666666666666,3,Aug,Telchac,3,Wet
21.343722,-89.26325,0.66,9,11,5,,,62.16666666666667,0.325998306224396,35,5.5,25.9,2.7200000000000006,4.4,,1,Nov,Telchac,3,Wet
21.34533,-89.24604,0.4,0,3,5,30.933333333333334,223.33333333333334,178.5,0.286480416272425,9.333333333333334,5.8,14.4,4.19,5.4,7.43,2,Apr,Telchac,4,Dry
21.345414,-89.24595,0.4,0,0,5,31.433333333333334,343.3333333333333,91.10000000000001,0.318101344514721,13.333333333333334,6.6,18,2.78,5.9,7.32,3,Aug,Telchac,4,Dry
21.345027,-89.24594,0.4,0,0,5,,,189.8166666666667,0.251187692130686,35,10.4,11,2.76,8.3,,1,Nov,Telchac,4,Dry
21.34533,-89.24604,0.4,0,3,5,30.966666666666665,70,178.5,0.586491878091949,39.666666666666664,5.6,14.4,4.19,5.4,7.923333333333334,2,Apr,Telchac,4,Wet
21.345414,-89.24595,0.4,0,0,5,32.56666666666667,216.66666666666666,91.10000000000001,0.37262935995361895,36,5.2,18,2.78,5.9,7.4366666666666665,3,Aug,Telchac,4,Wet
21.345027,-89.24594,0.4,0,0,5,,,189.8166666666667,0.47845022237068,35,6.4,11,2.76,8.3,,1,Nov,Telchac,4,Wet
21.353888,-89.1725,0.11,9,0,4,28.1,286.6666666666667,1123.1,0.341020538552606,38,4.6,17.9,0.05,4.6,7.25,2,Apr,Dzilam,1,Dry
21.367239,-89.06989,0.11,211,0,4,29.6,246.66666666666666,18.7,0.368253400251977,25.333333333333332,4.4,18,0.29999999999999993,4.6,7.246666666666667,3,Aug,Dzilam,1,Dry
21.458861,-89.00425,0.11,1,0,4,,,1013.7333333333335,0.318975268129411,35,6,17.1,3.35,3.9,,1,Nov,Dzilam,1,Dry
21.458861,-89.00425,0.11,1,0,4,,,1013.7333333333335,0.328850439835314,35,3.9,17.1,3.35,3.9,,1,Nov,Dzilam,1,Wet
21.353888,-89.1725,0.11,9,0,4,27.666666666666668,163.33333333333334,1123.1,0.588722241824328,42.666666666666664,4.8,17.9,0.05,4.6,6.953333333333333,2,Apr,Dzilam,1,Wet
21.367239,-89.06989,0.11,211,0,4,29.033333333333335,223.33333333333334,18.7,0.652688337083712,23.666666666666668,5.2,18,0.29999999999999993,4.6,7.08,3,Aug,Dzilam,1,Wet
21.375555,-89.00361,0.29,0,2,-15,30.366666666666667,290,314.1,0.370448256340042,41,4.5,13.9,0.05,4.3,7.113333333333333,2,Apr,Dzilam,2,Dry
21.375776,-89.00394,0.29,24,0,-15,33.333333333333336,266.6666666666667,51.400000000000006,0.42768722433650497,13.333333333333334,4.6,15,0.14999999999999997,4.6,6.93,3,Aug,Dzilam,2,Dry
21.522388,-88.91414,0.29,0,0,-15,,,830.5833333333334,0.5721203071365649,30,2.9,8.1,5.760000000000001,4.9,,1,Nov,Dzilam,2,Dry
21.522388,-88.91414,0.29,0,0,-15,,,830.5833333333334,0.41687469342671196,30,2.6,8.1,5.760000000000001,4.9,,1,Nov,Dzilam,2,Wet
21.375555,-89.00361,0.29,0,2,-15,29.46666666666667,136.66666666666666,314.1,0.37404239221242697,42.666666666666664,3.9,13.9,0.05,4.3,7.126666666666667,2,Apr,Dzilam,2,Wet
21.375776,-89.00394,0.29,24,0,-15,34.266666666666666,133.33333333333334,51.400000000000006,0.372838283730037,23,5.6,15,0.14999999999999997,4.6,7.28,3,Aug,Dzilam,2,Wet
21.557472,-88.90547,0.2,0,5,-13,30.5,283.3333333333333,837.2,0.45317115060072305,38.666666666666664,6.2,9.2,0.05,5.6,7.216666666666667,2,Apr,Dzilam,3,Dry
21.388536,-88.914,0.2,65,0,-13,34.03333333333333,306.6666666666667,2.7,0.705576673972543,7,5.1,15.2,0.05,4.9,7.39,3,Aug,Dzilam,3,Dry
21.557472,-88.90547,0.2,21,0,-13,,,684.4833333333333,0.721829751594885,30,7.5,18,2.73,2.9,,1,Nov,Dzilam,3,Dry
21.557472,-88.90547,0.2,0,5,-13,30.4,163.33333333333334,837.2,0.819031279985936,38,4.2,9.2,0.05,5.6,7.086666666666667,2,Apr,Dzilam,3,Wet
21.557472,-88.90547,0.2,21,0,-13,,,684.4833333333333,0.5459125997455481,30,4.1,18,2.73,2.9,,1,Nov,Dzilam,3,Wet
21.388536,-88.914,0.2,65,0,-13,34.766666666666666,190,2.7,0.802427637271131,3.6666666666666665,5.3,15.2,0.05,4.9,7.236666666666666,3,Aug,Dzilam,3,Wet
21.389166,-88.90528,0.46,0,12,3,30.433333333333334,270,503.90000000000003,0.501418566408167,25.666666666666668,8.2,6.2,0.05,6.8,7.306666666666667,2,Apr,Dzilam,4,Dry
21.390838,-88.9054,0.46,21,5,3,32.300000000000004,146.66666666666666,131.7,0.559011680161571,21.666666666666668,3.6,21.3,0.29999999999999993,3.7,7.09,3,Aug,Dzilam,4,Dry
21.366777,-89.06975,0.46,0,0,3,,,1235.65,0.407001485089036,34,4.2,9.5,2.8800000000000003,5.8,,1,Nov,Dzilam,4,Dry
21.389166,-88.90528,0.46,0,12,3,30.666666666666668,293.3333333333333,503.90000000000003,0.5349715455821891,37,6.3,6.2,0.05,6.8,7.1866666666666665,2,Apr,Dzilam,4,Wet
21.366777,-89.06975,0.46,0,0,3,,,1235.65,0.48255343835200104,34,3.5,9.5,2.8800000000000003,5.8,,1,Nov,Dzilam,4,Wet
