muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Sisal 21-08-2SGran.xle,0.00,0.00,0.01,0.01,0.05,0.14,0.40,0.97,1.88,3.30,4.69,8.00,9.90,12.74,11.87,11.57,8.66,7.74,5.37,4.57,3.32,2.72,1.25,0.64,0.20,0.00,0.00,Sisal,21-08,2,S
Sisal 21-08-3DGran.xle,0.01,0.00,0.01,0.02,0.04,0.13,0.36,0.93,2.00,3.30,4.77,7.66,9.18,11.85,11.37,12.33,9.79,8.42,5.48,4.34,3.27,2.33,1.32,0.62,0.19,0.04,0.24,Sisal,21-08,3,D
Sisal 21-08-3SGran.xle,0.01,0.00,0.02,0.02,0.07,0.20,0.50,1.28,2.50,3.93,5.22,7.55,8.10,10.02,9.50,10.58,9.19,7.98,6.49,5.58,4.39,3.54,1.98,0.98,0.35,0.02,0.00,Sisal,21-08,3,S
Sisal 21-08-4DGran.xle,0.01,0.00,0.00,0.01,0.03,0.07,0.24,0.76,1.91,3.45,5.68,9.02,10.26,11.74,10.38,11.73,9.33,8.13,6.14,4.04,3.05,2.02,0.95,0.56,0.22,0.20,0.07,Sisal,21-08,4,D
Sisal 21-08-4SGran.xle,0.00,0.01,0.00,0.02,0.03,0.09,0.28,0.77,1.71,2.58,3.84,5.62,6.66,8.72,9.23,12.10,10.47,10.78,8.26,6.56,5.50,3.82,1.82,0.94,0.19,0.00,0.00,Sisal,21-08,4,S
Telchac 20-11-1DGran.xle,0.02,0.01,0.01,0.04,0.08,0.19,0.69,2.24,4.77,7.04,8.79,10.99,9.79,9.41,6.86,6.02,4.59,3.54,2.77,2.39,1.81,1.71,1.49,1.28,1.22,1.14,11.11,Telchac,20-11,1,D
Telchac 20-11-1SGran.xle,0.01,0.01,0.02,0.04,0.13,0.40,1.27,3.28,5.33,6.34,7.04,8.65,8.24,8.59,7.69,8.04,7.22,6.92,5.66,4.57,3.70,3.25,1.86,0.94,0.47,0.33,0.00,Telchac,20-11,1,S
Telchac 20-11-2DGran.xle,0.01,0.00,0.01,0.02,0.04,0.19,0.63,2.39,6.13,11.02,14.34,17.89,13.70,10.28,5.98,3.98,2.80,2.06,1.23,0.96,0.89,0.71,0.70,0.60,0.68,0.69,2.07,Telchac,20-11,2,D
Telchac 20-11-2SGran.xle,0.03,0.01,0.02,0.05,0.17,0.56,1.78,4.70,8.21,10.24,11.32,12.66,10.26,9.09,6.77,6.39,4.69,4.38,2.59,2.32,1.48,1.19,0.53,0.32,0.12,0.12,0.00,Telchac,20-11,2,S
Telchac 20-11-3DGran.xle,0.07,0.06,0.07,0.07,0.12,0.21,0.31,0.84,2.15,3.77,6.07,10.13,10.85,11.31,9.04,8.65,6.35,5.57,4.31,3.34,2.83,2.23,1.38,1.86,2.14,1.77,4.50,Telchac,20-11,3,D
Telchac 20-11-3SGran.xle,0.01,0.00,0.01,0.02,0.09,0.34,1.23,3.69,6.93,8.98,10.36,12.45,11.10,10.50,8.43,7.99,5.83,4.88,3.10,1.92,1.17,0.58,0.27,0.11,0.01,0.00,0.00,Telchac,20-11,3,S
